Trial,Concentration,soil_well,plate_unique,plate_id,plate_well,rfu
,,,plate_1,RFP_2_plate_1,E8,337.208
,,,plate_1,RFP_2_plate_1,E9,3.27
,,,plate_1,RFP_2_plate_1,E10,3.011
,,,plate_1,RFP_2_plate_1,E11,3.344
,,,plate_1,RFP_2_plate_1,E12,3.141
,,,plate_1,RFP_2_plate_1,F1,16.511
,,,plate_1,RFP_2_plate_1,F2,592.272
,,,plate_1,RFP_2_plate_1,F3,341.847
,,,plate_1,RFP_2_plate_1,F4,294.714
,,,plate_1,RFP_2_plate_1,F5,289.065
,,,plate_1,RFP_2_plate_1,F6,357.972
,,,plate_1,RFP_2_plate_1,F7,360.987
,,,plate_1,RFP_2_plate_1,F8,355.091
,,,plate_1,RFP_2_plate_1,F9,295.481
,,,plate_1,RFP_2_plate_1,F10,3.548
,,,plate_1,RFP_2_plate_1,F11,3.305
,,,plate_1,RFP_2_plate_1,F12,3.206
,,,plate_1,RFP_2_plate_1,G1,17.754
,,,plate_1,RFP_2_plate_1,G2,606.604
,,,plate_1,RFP_2_plate_1,G3,389.458
,,,plate_1,RFP_2_plate_1,G4,326.148
,,,plate_1,RFP_2_plate_1,G5,296.876
,,,plate_1,RFP_2_plate_1,G6,391.87
,,,plate_1,RFP_2_plate_1,G7,402.952
,,,plate_1,RFP_2_plate_1,G8,343.29
,,,plate_1,RFP_2_plate_1,G9,324.169
,,,plate_1,RFP_2_plate_1,G10,3.524
,,,plate_1,RFP_2_plate_1,G11,2.854
,,,plate_1,RFP_2_plate_1,G12,3.172
,,,plate_1,RFP_2_plate_1,H1,19.738
,,,plate_1,RFP_2_plate_1,H2,832.979
,,,plate_1,RFP_2_plate_1,H3,435.019
,,,plate_1,RFP_2_plate_1,H4,347.676
,,,plate_1,RFP_2_plate_1,H5,309.7
,,,plate_1,RFP_2_plate_1,H6,417.952
,,,plate_1,RFP_2_plate_1,H7,384.01
,,,plate_1,RFP_2_plate_1,H8,321.124
,,,plate_1,RFP_2_plate_1,H9,245.519
,,,plate_1,RFP_2_plate_1,H10,2.559
,,,plate_1,RFP_2_plate_1,H11,3.264
,,,plate_1,RFP_2_plate_1,H12,3.009
Bio_1,undiluted,A3,plate_2,RFP_3_plate_1,A1,20.947
,,,plate_2,RFP_3_plate_1,A2,296.202
,,,plate_2,RFP_3_plate_1,A3,345.056
,,,plate_2,RFP_3_plate_1,A4,337.905
,,,plate_2,RFP_3_plate_1,A5,216.584
,,,plate_2,RFP_3_plate_1,A6,462.747
,,,plate_2,RFP_3_plate_1,A7,483.743
,,,plate_2,RFP_3_plate_1,A8,287.294
,,,plate_2,RFP_3_plate_1,A9,298.491
,,,plate_2,RFP_3_plate_1,A10,3.328
,,,plate_2,RFP_3_plate_1,A11,3.633
,,,plate_2,RFP_3_plate_1,A12,4.273
,,,plate_2,RFP_3_plate_1,B1,15.32
,,,plate_2,RFP_3_plate_1,B2,370.242
,,,plate_2,RFP_3_plate_1,B3,303.913
,,,plate_2,RFP_3_plate_1,B4,267.13
,,,plate_2,RFP_3_plate_1,B5,304.052
,,,plate_2,RFP_3_plate_1,B6,402.934
,,,plate_2,RFP_3_plate_1,B7,453.483
,,,plate_2,RFP_3_plate_1,B8,369.217
,,,plate_2,RFP_3_plate_1,B9,318.658
,,,plate_2,RFP_3_plate_1,B10,3.907
,,,plate_2,RFP_3_plate_1,B11,3.425
,,,plate_2,RFP_3_plate_1,B12,3.827
,,,plate_2,RFP_3_plate_1,C1,15.128
,,,plate_2,RFP_3_plate_1,C2,373.437
,,,plate_2,RFP_3_plate_1,C3,307.561
,,,plate_2,RFP_3_plate_1,C4,248.713
,,,plate_2,RFP_3_plate_1,C5,300.4
,,,plate_2,RFP_3_plate_1,C6,369.594
,,,plate_2,RFP_3_plate_1,C7,408.575
